favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2548,Twitter for iPhone,"'बनारस में मोदीजी की पिक्चर का बार बार रीटेक हो रहा है, 4 दिन में मोदीजी ने चार बार रीटेक लिया- मगर बात नहीं बन रही!' जौनपुर",,False,Mon Mar 06 08:57:20 +0000 2017,1430,838674849958670337
8632,Twitter for iPhone,"""ಹುಟ್ಟಿದರೆ ಕನ್ನಡ ನಾಡಲ್ಲಿ ಹುಟ್ಟಬೇಕು""

ಕರ್ನಾಟಕದ ರತ್ನ ಡಾ. ರಾಜ್‍ಕುಮಾರ್ ಅವರ ಸಮಾಧಿಗೆ ಭೇಟಿ ನೀಡಿ ಪುಷ್ಪಾರ್ಚನೆ ಸಮರ್ಪಿಸಿ ನನ್ನ… https://t.co/g1Pcy3SvkO",,False,Wed May 09 16:27:17 +0000 2018,2843,994252477607415808
522,Twitter for iPhone,"चुनाव जीतने के बाद, जो वायदे कांग्रेस पार्टी और तृणमूल कांग्रेस ने बंगाल को किये उन सब वायदों को ममता जी ने तोड़ना शुरू कर दिया",,False,Sat Apr 02 08:55:05 +0000 2016,592,716187184198328321
3706,Twitter for iPhone,"Best wishes to @IYC on its foundation day
#IYCFoundationDay",,False,Wed Aug 09 09:53:39 +0000 2017,1576,895221527418773505
746,Twitter Web Client,Meeting Sardar Surjit Singh's family in Fatehgarh Sahib http://t.co/iwFuJXyTNx,,False,Thu Jun 18 04:19:41 +0000 2015,664,611387782741667840
20736,Twitter for iPhone,"Madam Chief Minister, with all humility we are in the 21'st century. It's 2017, not 1817. 
https://t.co/ezPfca2NPS",,False,Sun Oct 22 06:14:21 +0000 2017,11210,921983042540904448
431,Twitter for iPhone,But the reality is that  only 1.3 lakh jobs were given in one year!,RahulGandhi,False,Fri May 06 05:25:05 +0000 2016,621,728455521745829889
1429,Twitter for iPhone,"किसान मुफ्त में कुछ नहीं चाहता, उसे उसका हक़ चाहिए, जिसके लिए वो खून पसीना बहाने को भी तैयार है-खाट सभा, रायबरेली https://t.co/UaEcXS3ybj",,False,Thu Sep 22 14:16:51 +0000 2016,962,778961259467157504
2699,Twitter for iPhone,"Looking fwd to being in Sangareddy tomorrow, a place that holds a very spl significance for me &amp; for Congress men &amp;… https://t.co/ZOANb2McFe",,False,Wed May 31 12:20:21 +0000 2017,1416,869891296017629185
455,Twitter for iPhone,Paying tribute to Babu Jagjivan Ramji http://t.co/kJTWiYBqUJ,,False,Mon Jul 06 06:02:12 +0000 2015,471,617936564627226624
4049,Twitter for iPhone,@CitiznMukherjee @INCIndia Thank you Pranab Da for your wishes and kind words. I appreciate them.,CitiznMukherjee,False,Tue Jun 19 12:55:27 +0000 2018,778,1009057070291849221
21821,Twitter for iPhone,"The opportunistic BJP-PDP alliance set fire to J&amp;K, killing many innocent people including our brave soldiers. It c… https://t.co/GcEPFPb976",,False,Tue Jun 19 13:12:59 +0000 2018,7545,1009061484410830849
366,Twitter Web Client,My condolences also to the family of Congress MLA Shri Venkatesh Nayak who lost his life in this accident,RahulGandhi,False,Mon Aug 24 06:36:19 +0000 2015,360,635702155828162560
2170,Twitter for iPhone,"कांग्रेस पार्टी के लोगों में और इनके लोगों में क्या फर्क है?हम जब वायदा करते हैं पूरा करते हैं,खोखले वायदे नहीं करते,आपको काम करके दिखायेंगे",,False,Fri Jan 27 09:53:31 +0000 2017,1279,824918250702057472
1209,Twitter for iPhone,"Paying tribute to #MahatmaGandhi  at Nagarpalika Chowk, Shikhohabad https://t.co/IIlNDI7GVd",,False,Sun Oct 02 06:25:19 +0000 2016,765,782466474401107969
319,Twitter for iPhone,"मोदी जी कहते है, मैं और मेरे सूट-बूट वाले दोस्त, किसानों को 50 % ज़्यादा फ़ायदा देंगे #BiharWithRG",,False,Sat Sep 19 10:16:56 +0000 2015,366,645179761715638273
458,Twitter Web Client,"किसी बड़े Businessman के घर में जाना, उससे गले मिलना और 5 -10 लोगों को पूरे देश की जायदात देना, उसे वह राजनीती कहते है !",RahulGandhi,False,Thu Aug 27 10:13:09 +0000 2015,488,636843889417056256
